model,run
MRI-ESM2-0,r5i1p1f1
NESM3,r1i1p1f1
NESM3,r2i1p1f1
NorESM2-MM,r1i1p1f1
TaiESM1,r1i1p1f1
UKESM1-0-LL,r1i1p1f2
UKESM1-0-LL,r2i1p1f2
UKESM1-0-LL,r3i1p1f2
UKESM1-0-LL,r4i1p1f2
UKESM1-0-LL,r8i1p1f2
